Status,Name,Adv,Date,Contents
Hurricane,Dean,NA,2007-08-21T06:25:00Z,"
ZCZC MIATCUAT4 ALL
TTAA00 KNHC DDHHMM CCA
HURRICANE DEAN TROPICAL CYCLONE UPDATE...CORRECTED
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042007
225 AM EDT TUE AUG 21 2007

...CORRECTED DAY OF WEEK AND DATE IN HEADER...

DROPSONDE DATA FROM THE AIR FORCE RESERVE HURRICANE HUNTER AIRCRAFT
INDICATE THAT THE MINIMUM CENTRAL PRESSURE IN THE EYE OF HURRICANE
DEAN IS NOW 909 MB...26.84 INCHES.
 
$$
FORECASTER PASCH/BROWN
 
 
NNNN
"
Hurricane,Dean,NA,2007-08-21T10:00:00Z,"
ZCZC MIATCUAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE DEAN TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042007
500 AM CDT TUE AUG 21 2007

A HURRICANE WATCH IS IN EFFECT ALONG THE GULF COAST OF MEXICO FROM
NORTH OF VERACRUZ TO TAMPICO.  THIS WATCH WAS INADVERTENTLY DELETED
IN THE 400 AM CDT ADVISORY.

$$
FORECASTER PASCH/BROWN
 
 
NNNN
"
Hurricane,Dean,NA,2007-08-22T16:50:00Z,"
ZCZC MIATCUAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE DEAN TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042007
1150 AM CDT WED AUG 22 2007

THE CENTER OF HURRICANE DEAN MADE LANDFALL IN MEXICO NEAR THE TOWN
OF TECOLUTLA...JUST EAST OF GUTIERREZ ZAMORA AND ABOUT 40 MILES
SOUTH-SOUTHEAST OF TUXPAN AT ABOUT 1130 AM CDT...1630 UTC.  THE
ESTIMATED INTENSITY OF DEAN AT LANDFALL WAS 100 MPH...160
KPH....CATEGORY TWO ON THE SAFFIR-SIMPSON HURRICANE SCALE. 

$$
FORECASTER FRANKLIN
 
 
NNNN
"
Tropical Storm,Erin,NA,2007-08-15T15:15:00Z,"
ZCZC MIATCUAT5 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ERIN TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL052007
1015 AM CDT WED AUG 15 2007
DATA FROM A NOAA RECONNAISSANCE AIRCRAFT INDICATE THAT TROPICAL
DEPRESSION FIVE IN THE GULF OF MEXICO HAS REACHED TROPICAL STORM
STRENGTH AND IS NOW TROPICAL STORM ERIN.  A SPECIAL ADVISORY WILL
BE ISSUED WITHIN THE HOUR. 
 
$$

FORECASTER AVILA
  
NNNN
"
Hurricane,Felix,NA,2007-09-02T07:30:00Z,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM CCA
HURRICANE FELIX TROPICAL CYCLONE UPDATE...CORRECTED
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL062007
330 AM AST SUN SEP 02 2007

CORRECTED HEADER

FLIGHT-LEVEL AND DROPSONDE DATA RECENTLY RECEIVED FROM THE UNITED
STATES AIR FORCE HURRICANE HUNTER AIRCRAFT INDICATE THAT MAXIMUM
SUSTAINED WINDS IN HURRICANE FELIX HAVE INCREASED TO 100 MPH...160
KM/HR...MAKING FELIX A CATEGORY TWO HURRICANE ON THE SAFFIR-SIMPSON
HURRICANE SCALE.
 
$$
FORECASTER KNABB
 
 
NNNN
"
Hurricane,Felix,NA,2007-09-04T10:40:00Z,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM
HURRICANE FELIX TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL062007
640 AM AST TUE SEP 04 2007

SATELLITE IMAGERY INDICATES THAT HURRICANE FELIX HAS CONTINUED TO
STRENGTHEN...AND HAS BECOME A POTENTIALLY CATASTROPHIC CATEGORY
FIVE HURRICANE WITH MAXIMUM SUSTAINED WINDS OF 160 MPH...260
KM/HR...JUST OFF THE COAST OF NORTHEASTERN NICARAGUA.
 
$$
FORECASTER KNABB
 
 
NNNN
"
Tropical Storm,Gabrielle,NA,2007-09-09T16:15:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM GABRIELLE TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL072007
1215 PM EDT SUN SEP 09 2007


RADAR IMAGERY AND RECONNAISSANCE AIRCRAFT DATA INDICATE THAT THE
CENTER OF TROPICAL STORM GABRIELLE CROSSED THE COAST OF NORTH
CAROLINA ALONG THE CAPE LOOKOUT NATIONAL SEASHORE AT ABOUT 1145 AM
EDT.  ALTHOUGH THE CENTER HAS MADE LANDFALL...THE STRONGEST WINDS
AND HEAVIEST RAINS HAVE YET TO REACH THE COAST AND WILL BE
SPREADING ONSHORE DURING THE NEXT FEW HOURS.
 
$$
FORECASTER BROWN/KNABB
 
 
NNNN
"
Hurricane,Humberto,NA,2007-09-13T07:10:00Z,"
ZCZC MIATCUAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE HUMBERTO TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL092007
210 AM CDT THU SEP 13 2007
 
NOAA NWS DOPPLER RADAR AND AIR FORCE RECONNAISSANCE AIRCRAFT DATA
INDICATE THAT AT AROUND 200 AM CDT...0700 UTC...THE CENTER OF
HURRICANE HUMBERTO CROSSED THE TEXAS COAST JUST EAST OF HIGH ISLAND
WITH MAXIMUM WINDS OF 85 MPH...135 KM/HR.
 
$$
FORECASTER MAINELLI
 
 
NNNN
"
Tropical Storm,Lorenzo,NA,2007-09-27T17:50:00Z,"
ZCZC MIATCUAT3 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM LORENZO TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL132007
1250 PM CDT THU SEP 27 2007


DATA FROM A RECONNAISSANCE PLANE INDICATE THAT THE TROPICAL
DEPRESSION IN THE GULF OF MEXICO HAS BECOME TROPICAL STORM LORENZO
AND WINDS HAVE INCREASED TO 60 MPH...95 KM/HR.  A SPECIAL ADVISORY
WILL BE ISSUED SHORTLY AND WILL REPLACE THE 1 PM CDT INTERMEDIATE
ADVISORY.
 
$$
FORECASTER AVILA
 
NNNN
"
Tropical Storm,Noel,NA,2007-10-28T17:40:00Z,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM NOEL TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL162007
140 PM EDT SUN OCT 28 2007


REPORTS FROM AN AIR FORCE HURRICANE HUNTER AIRCRAFT INDICATE THAT
THE DEPRESSION HAS STRENGTHENED TO A TROPICAL STORM WITH MAXIMUM
WINDS NEAR 50 MPH.  A SPECIAL ADVISORY WILL BE ISSUED AT
APPROXIMATELY 200 PM EDT...AND THE SPECIAL PUBLIC ADVISORY WILL
TAKE THE PLACE OF THE INTERMEDIATE PUBLIC ADVISORY PREVIOUSLY
SCHEDULED FOR THAT TIME.
 
$$
FORECASTER KNABB
 
 
NNNN
"
Hurricane,Flossie,NA,2007-08-11T12:00:00Z,"
ZCZC MIATCUEP4 ALL
TTAA00 KNHC DDHHMM
HURRICANE FLOSSIE TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   EP092007
500 AM PDT SAT AUG 11 2007

AS OF 500 AM PDT...1200 UTC...THE CENTER OF HURRICANE FLOSSIE HAS
NOT YET CROSSED 140 DEGREES WEST LONGITUDE INTO THE CENTRAL PACIFIC
HURRICANE BASIN.  THEREFORE...THE NEXT ADVISORY WILL AGAIN BE
ISSUED BY THE NATIONAL HURRICANE CENTER IN MIAMI FLORIDA.
 
$$
FORECASTER KNABB
 
 
NNNN
"
Hurricane,Henriette,NA,2007-09-06T00:15:00Z,"
ZCZC MIATCUEP1 ALL
TTAA00 KNHC DDHHMM
HURRICANE HENRIETTE TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   EP112007
515 PM PDT WED SEP 05 2007
SATELLITE IMAGERY AND SURFACE OBSERVATIONS INDICATE THAT THE CENTER
OF HENRIETTE CROSSED THE COAST OF MAINLAND MEXICO NEAR GUAYMAS  
AROUND 5 PM PDT.
 
$$
FORECASTER BROWN/BEVEN
 
 
NNNN

"
Tropical Storm,Bertha,NA,2008-07-14T18:55:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM BERTHA TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL022008
255 PM AST MON JUL 14 2008
THE GOVERNMENT OF BERMUDA HAS ISSUED A HURRICANE WATCH FOR THE
ISLAND OF BERMUDA.  A HURRICANE WATCH MEANS THAT HURRICANE
CONDITIONS ARE POSSIBLE WITHIN THE WATCH AREA.

DATA FROM AN AIR FORCE RESERVE UNIT RECONNAISSANCE AIRCRAFT INDICATE
THAT BERTHA IS JUST BELOW HURRICANE STRENGTH...WITH MAXIMUM
SUSTAINED WINDS OF 70 MPH.  THESE WINDS ARE LOCATED TO THE
SOUTHWEST OF THE CENTER IN A RAINBAND THAT WILL BE PASSING OVER
BERMUDA DURING THE NEXT FEW HOURS.  IT IS POSSIBLE THAT BERTHA WILL
REACH HURRICANE STRENGTH BEFORE CLEARING BERMUDA...AND FOR THIS
REASON THE GOVERNMENT OF BERMUDA HAS ISSUED A HURRICANE WATCH FOR
THE ISLAND.  A TROPICAL STORM WARNING ALSO REMAINS IN EFFECT FOR
BERMUDA.
 
$$
FORECASTER FRANKLIN
 
 
NNNN
"
Tropical Storm,Fay,NA,2008-08-15T21:00:00Z,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM FAY TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL062008
500 PM AST FRI AUG 15 2008
AT 5 PM AST...2100 UTC...THE GOVERNMENT OF THE BAHAMAS HAS ISSUED A
TROPICAL STORM WARNING FOR THE SOUTHEASTERN BAHAMAS...INCLUDING THE
ACKLINS...CROOKED ISLAND...THE INAGUAS...MAYAGUANA...AND THE RAGGED
ISLANDS...AS WELL AS FOR THE TURKS AND CAICOS ISLANDS.
 
AT 5 PM AST...2100 UTC...THE GOVERNMENT OF THE BAHAMAS HAS ISSUED A
TROPICAL STORM WATCH FOR THE CENTRAL BAHAMAS...INCLUDING CAT
ISLAND...THE EXUMAS...LONG ISLAND...RUM CAY...AND SAN SALVADOR. 
 
$$
FORECASTER BEVEN/BROWN
 
 
NNNN

"
Tropical Storm,Fay,NA,2008-08-18T19:20:00Z,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM FAY TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL062008
320 PM EDT MON AUG 18 2008

THE CENTER OF TROPICAL STORM FAY MADE LANDFALL OVER KEY WEST FLORIDA 
AT 3 PM EDT.
 
$$
FORECASTER BEVEN/PASCH
 
 
NNNN

"
Tropical Storm,Gustav,NA,2008-08-25T18:00:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM GUSTAV TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL072008
200 PM EDT MON AUG 25 2008
REPORTS FROM AN AIR FORCE HURRICANE HUNTER AIRCRAFT INDICATE THAT
TROPICAL DEPRESSION SEVEN HAS STRENGTHENED TO BECOME TROPICAL STORM
GUSTAV WITH MAXIMUM WINDS NEAR 60 MPH...95 KM/HR.  A SPECIAL
ADVISORY WILL BE ISSUED WITHIN THE NEXT 30 MINUTES TO UPDATE THE
INTENSITY FORECAST AND WATCHES AND WARNINGS FOR HISPANIOLA.

$$
FORECASTER PASCH
 
NNNN

"
Hurricane,Gustav,NA,2008-08-26T06:20:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
HURRICANE GUSTAV TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL072008
220 AM EDT TUE AUG 26 2008

REPORTS FROM AN AIR FORCE HURRICANE HUNTER AIRCRAFT INDICATE THAT
GUSTAV HAS BECOME A HURRICANE WITH MAXIMUM WINDS NEAR 80 MPH...130
KM/HR.  THIS CHANGE WILL BE REFLECTED IN THE 5 AM EDT ADVISORY.  

$$
FORECASTER BLAKE/AVILA
 
NNNN

"
Hurricane,Gustav,NA,2008-08-29T19:15:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
HURRICANE GUSTAV TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL072008
315 PM EDT FRI AUG 29 2008


DATA FROM AN AIR FORCE RECONNAISSANCE AIRCRAFT INDICATE THAT
GUSTAV HAS AGAIN BECOME A HURRICANE WITH MAXIMUM WINDS NEAR 75
MPH...120 KM/HR.

$$
FORECASTER KNABB
 
NNNN

"
Hurricane,Gustav,NA,2008-08-30T06:10:00Z,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
HURRICANE GUSTAV TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL072008
210 AM EDT SAT AUG 30 2008


DATA FROM AN AIR FORCE RECONNAISSANCE AIRCRAFT INDICATE THAT
GUSTAV CONTINUES TO STRENGTHEN AND NOW HAS MAXIMUM WINDS NEAR 100
MPH...155 KM/HR WITH HIGHER GUSTS.  THIS MAKES GUSTAV A CATEGORY TWO
HURRICANE ON THE SAFFIR-SIMPSON HURRICANE SCALE.  

$$
FORECASTER BLAKE/AVILA
 
NNNN

"
